 time            v(g_pulse)      v(n1)          
 2.79832110e-10  1.20000000e+00  1.00743588e+00 
 2.80274176e-10  1.20000000e+00  1.00760194e+00 
 2.80704366e-10  1.20000000e+00  1.00779666e+00 
 2.81129312e-10  1.20000000e+00  1.00802123e+00 
 2.81550138e-10  1.20000000e+00  1.00827502e+00 
 2.81971034e-10  1.20000000e+00  1.00855972e+00 
 2.82392050e-10  1.20000000e+00  1.00887475e+00 
 2.82816144e-10  1.20000000e+00  1.00922180e+00 
 2.83243329e-10  1.20000000e+00  1.00960046e+00 
 2.83676011e-10  1.20000000e+00  1.01001246e+00 
 2.84114328e-10  1.20000000e+00  1.01045754e+00 
 2.84560372e-10  1.20000000e+00  1.01093739e+00 
 2.85014480e-10  1.20000000e+00  1.01145190e+00 
 2.85478619e-10  1.20000000e+00  1.01200271e+00 
 2.85953418e-10  1.20000000e+00  1.01258991e+00 
 2.86440941e-10  1.20000000e+00  1.01321523e+00 
 2.86942346e-10  1.20000000e+00  1.01387918e+00 
 2.87460306e-10  1.20000000e+00  1.01458416e+00 
 2.87997400e-10  1.20000000e+00  1.01533241e+00 
 2.88558818e-10  1.20000000e+00  1.01612997e+00 
 2.89152483e-10  1.20000000e+00  1.01698780e+00 
 2.89767857e-10  1.20000000e+00  1.01789224e+00 
 2.90376118e-10  1.20000000e+00  1.01880518e+00 
 2.90995146e-10  1.20000000e+00  1.01976236e+00 
 2.91532119e-10  1.20000000e+00  1.02062483e+00 
 2.91932976e-10  1.20000000e+00  1.02129368e+00 
 2.92390036e-10  1.20000000e+00  1.02208714e+00 
 2.92872864e-10  1.20000000e+00  1.02296519e+00 
 2.93378613e-10  1.20000000e+00  1.02393279e+00 
 2.93884050e-10  1.20000000e+00  1.02495097e+00 
 2.94398590e-10  1.20000000e+00  1.02604064e+00 
 2.94914379e-10  1.20000000e+00  1.02718564e+00 
 2.95442320e-10  1.20000000e+00  1.02840939e+00 
 2.95977249e-10  1.20000000e+00  1.02969831e+00 
 2.96527033e-10  1.20000000e+00  1.03106836e+00 
 2.97087110e-10  1.20000000e+00  1.03250395e+00 
 2.97663385e-10  1.20000000e+00  1.03401438e+00 
 2.98251489e-10  1.20000000e+00  1.03558101e+00 
 2.98855213e-10  1.20000000e+00  1.03720521e+00 
 2.99469873e-10  1.20000000e+00  1.03886451e+00 
 3.00097075e-10  1.20000000e+00  1.04055243e+00 
 3.00731591e-10  1.20000000e+00  1.04224366e+00 
 3.01373462e-10  1.20000000e+00  1.04392705e+00 
 3.02018279e-10  1.20000000e+00  1.04558004e+00 
 3.02550262e-10  1.20000000e+00  1.04690780e+00 
 3.03012920e-10  1.20000000e+00  1.04803110e+00 
 3.03442577e-10  1.20000000e+00  1.04904446e+00 
 3.03860241e-10  1.20000000e+00  1.04999838e+00 
 3.04240677e-10  1.20000000e+00  1.05083716e+00 
 3.04652546e-10  1.20000000e+00  1.05170889e+00 
 3.05167027e-10  1.20000000e+00  1.05273792e+00 
 3.05659154e-10  1.20000000e+00  1.05365275e+00 
 3.06047202e-10  1.20000000e+00  1.05432094e+00 
 3.06504855e-10  1.20000000e+00  1.05504124e+00 
 3.06918817e-10  1.20000000e+00  1.05562266e+00 
 3.07388858e-10  1.20000000e+00  1.05619229e+00 
 3.07903711e-10  1.20000000e+00  1.05669448e+00 
 3.08432549e-10  1.20000000e+00  1.05706469e+00 
 3.08972548e-10  1.20000000e+00  1.05727549e+00 
 3.09512703e-10  1.20000000e+00  1.05730211e+00 
 3.10000000e-10  1.20000000e+00  1.05715591e+00 
 3.10000103e-10  1.19998759e+00  1.05715401e+00 
