 time            v(in)           v(out)         
 2.48938431e-09  1.07261174e+00  6.09602866e-01 
 2.49039148e-09  1.08469775e+00  5.81332940e-01 
 2.49135212e-09  1.09622546e+00  5.54030054e-01 
 2.49213740e-09  1.10564884e+00  5.31510943e-01 
 2.49280573e-09  1.11366881e+00  5.12239516e-01 
 2.49341050e-09  1.12092606e+00  4.94746324e-01 
 2.49397196e-09  1.12766357e+00  4.78486179e-01 
 2.49450437e-09  1.13405240e+00  4.63075491e-01 
 2.49501674e-09  1.14020085e+00  4.48277114e-01 
 2.49551593e-09  1.14619119e+00  4.33915168e-01 
 2.49600754e-09  1.15209052e+00  4.19851158e-01 
 2.49654113e-09  1.15849359e+00  4.04707793e-01 
 2.49703081e-09  1.16436974e+00  3.90951207e-01 
 2.49755077e-09  1.17060927e+00  3.76524867e-01 
 2.49802605e-09  1.17631256e+00  3.63530137e-01 
 2.49851284e-09  1.18215404e+00  3.50439753e-01 
 2.49897518e-09  1.18770214e+00  3.38237412e-01 
 2.49944759e-09  1.19337110e+00  3.26025785e-01 
 2.49991083e-09  1.19892996e+00  3.14324475e-01 
 2.50000000e-09  1.20000000e+00  3.12104542e-01 
 2.50000284e-09  1.20000000e+00  3.12034086e-01 
 2.50000851e-09  1.20000000e+00  3.11893147e-01 
 2.50001985e-09  1.20000000e+00  3.11611103e-01 
 2.50004255e-09  1.20000000e+00  3.11046398e-01 
 2.50008793e-09  1.20000000e+00  3.09915110e-01 
 2.50017869e-09  1.20000000e+00  3.07646642e-01 
 2.50031519e-09  1.20000000e+00  3.04225189e-01 
 2.50043882e-09  1.20000000e+00  3.01121834e-01 
 2.50058718e-09  1.20000000e+00  2.97400628e-01 
 2.50072154e-09  1.20000000e+00  2.94038784e-01 
 2.50087960e-09  1.20000000e+00  2.90099979e-01 
 2.50102853e-09  1.20000000e+00  2.86409241e-01 
 2.50119988e-09  1.20000000e+00  2.82192509e-01 
 2.50136547e-09  1.20000000e+00  2.78151347e-01 
 2.50155275e-09  1.20000000e+00  2.73624766e-01 
 2.50173770e-09  1.20000000e+00  2.69203348e-01 
 2.50194445e-09  1.20000000e+00  2.64320850e-01 
 2.50215244e-09  1.20000000e+00  2.59475425e-01 
 2.50238326e-09  1.20000000e+00  2.54178371e-01 
 2.50261930e-09  1.20000000e+00  2.48849951e-01 
 2.50288030e-09  1.20000000e+00  2.43063782e-01 
 2.50315126e-09  1.20000000e+00  2.37174558e-01 
 2.50345074e-09  1.20000000e+00  2.30805515e-01 
 2.50376609e-09  1.20000000e+00  2.24256668e-01 
 2.50411532e-09  1.20000000e+00  2.17191738e-01 
 2.50448793e-09  1.20000000e+00  2.09867882e-01 
 2.50490182e-09  1.20000000e+00  2.01987695e-01 
 2.50534813e-09  1.20000000e+00  1.93784340e-01 
 2.50584420e-09  1.20000000e+00  1.85014890e-01 
 2.50637499e-09  1.20000000e+00  1.76025881e-01 
 2.50694482e-09  1.20000000e+00  1.66813703e-01 
 2.50756447e-09  1.20000000e+00  1.57291166e-01 
 2.50815025e-09  1.20000000e+00  1.48744290e-01 
 2.50875556e-09  1.20000000e+00  1.40357758e-01 
 2.50934260e-09  1.20000000e+00  1.32638364e-01 
 2.50994672e-09  1.20000000e+00  1.25101650e-01 
 2.51054032e-09  1.20000000e+00  1.18081164e-01 
 2.51114765e-09  1.20000000e+00  1.11275575e-01 
 2.51174870e-09  1.20000000e+00  1.04899218e-01 
 2.51236129e-09  1.20000000e+00  9.87507053e-02 
 2.51297060e-09  1.20000000e+00  9.29696482e-02 
 2.51359018e-09  1.20000000e+00  8.74167960e-02 
 2.51419776e-09  1.20000000e+00  8.22749359e-02 
 2.51481351e-09  1.20000000e+00  7.73553315e-02 
 2.51542202e-09  1.20000000e+00  7.27675181e-02 
 2.51604206e-09  1.20000000e+00  6.83586499e-02 
 2.51665910e-09  1.20000000e+00  6.42239260e-02 
 2.51728914e-09  1.20000000e+00  6.02486052e-02 
 2.51791929e-09  1.20000000e+00  5.65085121e-02 
 2.51856334e-09  1.20000000e+00  5.29163095e-02 
 2.51921022e-09  1.20000000e+00  4.95297265e-02 
 2.51987176e-09  1.20000000e+00  4.62827349e-02 
 2.52053862e-09  1.20000000e+00  4.32180734e-02 
 2.52122092e-09  1.20000000e+00  4.02860972e-02 
 2.52191091e-09  1.20000000e+00  3.75176341e-02 
 2.52261723e-09  1.20000000e+00  3.48754698e-02 
 2.52333357e-09  1.20000000e+00  3.23812498e-02 
 2.52406733e-09  1.20000000e+00  3.00070831e-02 
 2.52481345e-09  1.20000000e+00  2.77676899e-02 
 2.52557832e-09  1.20000000e+00  2.56420993e-02 
 2.52635798e-09  1.20000000e+00  2.36398977e-02 
 2.52715802e-09  1.20000000e+00  2.17452030e-02 
 2.52797545e-09  1.20000000e+00  1.99638520e-02 
 2.52881524e-09  1.20000000e+00  1.82836741e-02 
 2.52967525e-09  1.20000000e+00  1.67078029e-02 
 2.53056000e-09  1.20000000e+00  1.52267557e-02 
 2.53146816e-09  1.20000000e+00  1.38413497e-02 
 2.53238873e-09  1.20000000e+00  1.25642612e-02 
 2.53336555e-09  1.20000000e+00  1.13368715e-02 
 2.53436965e-09  1.20000000e+00  1.01993946e-02 
 2.53539063e-09  1.20000000e+00  9.15930926e-03 
